Year;Lag1;Lag2;Lag3;Lag4;Lag5;Volume;Today;Direction
2001,00;0.381;-0.192;-2624,00;-1055,00;43105,00;11913,00;0.959;Up
2001,00;0.959;0.381;-0.192;-2624,00;-1055,00;12965,00;1032,00;Up
2001,00;1032,00;0.959;0.381;-0.192;-2624,00;14112,00;-0.623;Down
2001,00;-0.623;1032,00;0.959;0.381;-0.192;1276,00;0.614;Up
2001,00;0.614;-0.623;1032,00;0.959;0.381;12057,00;0.213;Up
2001,00;0.213;0.614;-0.623;1032,00;0.959;13491,00;1392,00;Up
2001,00;1392,00;0.213;0.614;-0.623;1032,00;1445,00;-0.403;Down
2001,00;-0.403;1392,00;0.213;0.614;-0.623;14078,00;0.027;Up
2001,00;0.027;-0.403;1392,00;0.213;0.614;1164,00;1303,00;Up
2001,00;1303,00;0.027;-0.403;1392,00;0.213;12326,00;0.287;Up
2001,00;0.287;1303,00;0.027;-0.403;1392,00;1309,00;-0.498;Down
2001,00;-0.498;0.287;1303,00;0.027;-0.403;1258,00;-0.189;Down
2001,00;-0.189;-0.498;0.287;1303,00;0.027;1098,00;0.68;Up
2001,00;0.68;-0.189;-0.498;0.287;1303,00;10531,00;0.701;Up
2001,00;0.701;0.68;-0.189;-0.498;0.287;11498,00;-0.562;Down
2001,00;-0.562;0.701;0.68;-0.189;-0.498;12953,00;0.546;Up
2001,00;0.546;-0.562;0.701;0.68;-0.189;11188,00;-1747,00;Down
2001,00;-1747,00;0.546;-0.562;0.701;0.68;10484,00;0.359;Up
2001,00;0.359;-1747,00;0.546;-0.562;0.701;1013,00;-0.151;Down
2001,00;-0.151;0.359;-1747,00;0.546;-0.562;10596,00;-0.841;Down
2001,00;-0.841;-0.151;0.359;-1747,00;0.546;11583,00;-0.623;Down
2001,00;-0.623;-0.841;-0.151;0.359;-1747,00;11072,00;-1334,00;Down
2001,00;-1334,00;-0.623;-0.841;-0.151;0.359;10755,00;1183,00;Up
2001,00;1183,00;-1334,00;-0.623;-0.841;-0.151;10391,00;-0.865;Down
2001,00;-0.865;1183,00;-1334,00;-0.623;-0.841;10752,00;-0.218;Down
2001,00;-0.218;-0.865;1183,00;-1334,00;-0.623;11503,00;0.812;Up
2001,00;0.812;-0.218;-0.865;1183,00;-1334,00;11537,00;-1891,00;Down
2001,00;-1891,00;0.812;-0.218;-0.865;1183,00;12572,00;-1736,00;Down
2001,00;-1736,00;-1891,00;0.812;-0.218;-0.865;11122,00;-1851,00;Down
2001,00;-1851,00;-1736,00;-1891,00;0.812;-0.218;12085,00;-0.195;Down
2001,00;-0.195;-1851,00;-1736,00;-1891,00;0.812;13659,00;-0.556;Down
2001,00;-0.556;-0.195;-1851,00;-1736,00;-1891,00;12313,00;1749,00;Up
2001,00;1749,00;-0.556;-0.195;-1851,00;-1736,00;11308,00;-0.766;Down
2001,00;-0.766;1749,00;-0.556;-0.195;-1851,00;11141,00;-1431,00;Down
2001,00;-1431,00;-0.766;1749,00;-0.556;-0.195;12253,00;0.104;Up
2001,00;0.104;-1431,00;-0.766;1749,00;-0.556;12949,00;-0.568;Down
2001,00;-0.568;0.104;-1431,00;-0.766;1749,00;1294,00;0.586;Up
